ACTIVITYID,AGREEDBILLRATE,AGREEDPAYRATE,BILLFREQUENCY,BILLRATECURRENCY,CANDIDATEID,COMPANYID,CONTACTID,CORPTOCORP,CURRENCY,DATECREATED,DATEUPDATED,DATEUSERFIELDUPDATED,ENDDATE,FEE,FEE_PERCENT,FEE_TYPE,HIREFLAG,INTERVIEWDATE,INTERVIEWFLAG,INTERVIEW_TIMEZONEID,JOBID,LineofBusiness,Location,PAYFREQUENCY,POSITIONTYPE,PRIMARYSALESID,REJECTDATE,REJECTFLAG,REJECTREASON,ROLEID,STARTDATE,SUBMITTALDATE,SUBMITTALFLAG,StartExclude,TERMINATIONDATE,TERMINATIONREASON,TermExcludeDate,UPDATEDBY_USERID,USERID,VMSStatus,VendorClassification,api_fromDate,api_toDate
20326300,,,,,12232889796616,2474651,20905395,,,2018-02-13 15:17:11.0,2020-11-19 17:16:17.0,2019-01-24 00:05:56.0,,,,,0,2018-02-19 17:00:00.0,1,America/Los_Angeles,10524204,,,,Right to Hire,1104736,2018-02-21 16:30:02.0,1,Other,0,,2018-02-13 18:14:00.0,1,,,,,1108886,1108886,,,2020-11-18,2020-11-19
25051199,,,,,12221876264543,7782163,26853028,,,2019-07-11 14:30:15.0,2020-11-18 11:56:32.0,2019-07-11 14:30:17.0,,,,,0,,0,,12403107,,,,Contract,1096061,2019-07-15 09:25:25.0,1,Candidate off the market,1,,2019-07-11 14:29:00.0,1,,,,,1445402,1445402,,,2020-11-18,2020-11-19
29311417,,,,,11717748022410,4296153,27282106,,,2020-11-16 14:48:35.0,2020-11-18 09:09:58.0,2020-11-16 14:48:38.0,,,,,0,,0,,14087050,,,,Contract,1095672,2020-11-18 09:09:59.0,1,Other,0,,2020-11-16 14:48:00.0,1,,,,,1403411,1403411,,,2020-11-18,2020-11-19
29308982,,,,,12217814113992,4296153,27282106,,,2020-11-16 11:47:52.0,2020-11-18 09:10:48.0,2020-11-16 11:47:55.0,,,,,0,,0,,14087050,,,,Contract,1095672,2020-11-18 09:10:49.0,1,Other,0,,2020-11-16 11:47:00.0,1,,,,,1403411,1403411,,,2020-11-18,2020-11-19
29304234,,,,,7032852715506,4754855,32729670,,,2020-11-13 16:41:28.0,2020-11-18 10:53:25.0,2020-11-13 16:41:29.0,,,,,0,2020-11-16 14:00:00.0,1,America/New_York,14012455,,,,Contract,1452961,2020-11-18 10:53:26.0,1,Other,0,,,0,,,,,1403411,1403411,,,2020-11-18,2020-11-19
29307428,,,,,119760733502,4754855,32729670,,,2020-11-16 08:53:59.0,2020-11-18 10:55:06.0,2020-11-16 08:54:00.0,,,,,0,2020-11-17 13:00:00.0,1,America/New_York,14012455,,,,Contract,1452961,2020-11-18 10:55:06.0,1,Other,0,,,0,,,,,1403411,1403411,,,2020-11-18,2020-11-19
29087042,,,,,8738045855142,2198273,15552970,,,2020-10-21 19:19:45.0,2020-11-18 11:13:18.0,2020-10-21 19:19:46.0,,,,,0,,0,,13929257,,,,Contract,1095841,2020-11-18 11:13:19.0,1,Position closed - No feedback on Candidate from Client,1,,2020-10-21 19:19:00.0,1,,,,,1470052,1470052,,,2020-11-18,2020-11-19
29326267,,,,,12197219954070,0,32758416,,,2020-11-17 18:06:45.0,2020-11-18 13:26:49.0,2020-11-17 18:06:47.0,,,,,0,,0,,14097455,,,,Contract,1416848,2020-11-18 13:26:51.0,1,Candidate withdraw,0,,2020-11-17 18:06:00.0,1,,,,,1169137,1169137,,,2020-11-18,2020-11-19
29089671,,,,,8541310964616,2369151,15753508,,,2020-10-22 09:42:34.0,2020-11-18 13:44:07.0,2020-10-22 09:42:35.0,,,,,0,,0,,13979603,,,,Contract,1104736,2020-11-18 13:44:09.0,1,Skills not a match for applied position,1,,2020-10-22 09:42:00.0,1,,,,,1395257,1440064,,,2020-11-18,2020-11-19
29293833,,,,,4614362635034,2190650,33108917,,,2020-11-12 15:44:28.0,2020-11-18 13:49:51.0,2020-11-12 15:44:30.0,,,,,0,2020-11-18 12:00:00.0,1,America/Los_Angeles,14079863,,,,Contract,1394820,2020-11-18 13:49:53.0,1,Poor Communications,0,,2020-11-12 15:43:00.0,1,,,,,1460631,1460631,,,2020-11-18,2020-11-19
29198674,,,,,9945000324099,2198273,15552970,,,2020-11-04 15:16:04.0,2020-11-18 14:18:32.0,2020-11-04 15:16:07.0,,,,,0,,0,,14029836,,,,Contract,1095841,2020-11-18 14:18:32.0,1,Skills Not Strong Enough,1,,2020-11-04 15:15:00.0,1,,,,,1409440,1409440,,,2020-11-18,2020-11-19
29215254,,,,,4812349695974,2198273,15552970,,,2020-11-05 20:47:10.0,2020-11-18 14:19:40.0,2020-11-05 20:47:12.0,,,,,0,,0,,14029836,,,,Contract,1095841,2020-11-18 14:19:40.0,1,Skills Not Strong Enough,1,,2020-11-05 20:45:00.0,1,,,,,1409440,1409440,,,2020-11-18,2020-11-19
29243340,,,,,573162630440,7871993,33003570,,,2020-11-10 14:38:58.0,2020-11-18 17:03:51.0,2020-11-12 12:59:44.0,,,,,0,2020-11-17 13:00:00.0,1,America/Chicago,13858449,,,,Right to Hire,1441704,2020-11-18 17:03:51.0,1,Skills Not Strong Enough,0,,2020-11-10 14:38:00.0,1,,,,,1424008,1424008,,,2020-11-18,2020-11-19
29300270,,,,,10673478934960,7342040,31040498,,,2020-11-13 11:21:42.0,2020-11-18 17:14:29.0,2020-11-17 17:49:20.0,,,,,0,2020-11-18 12:00:00.0,1,America/Chicago,13827946,,,,Direct Placement,1406154,2020-11-18 17:14:30.0,1,Skills Not Strong Enough,0,,2020-11-13 10:50:00.0,1,,,,,1445402,1445402,,,2020-11-18,2020-11-19
29093438,,,,,11942277194365,2718906,32028341,,,2020-10-22 14:26:12.0,2020-11-18 19:41:06.0,2020-10-22 14:26:14.0,,,,,0,2020-10-29 15:30:00.0,1,America/Los_Angeles,13977471,,,,Contract,1095841,2020-11-18 19:41:07.0,1,Other,1,,2020-10-22 14:25:00.0,1,,,,,1456117,1456117,,,2020-11-18,2020-11-19
29338374,,,,,12094908626710,6802475,33049389,,,2020-11-18 18:06:12.0,2020-11-19 09:42:28.0,2020-11-18 18:06:13.0,,,,,0,,0,,14101466,,,,Direct Placement,1406154,2020-11-19 09:42:29.0,1,Client has prior knowledge,0,,2020-11-18 18:05:00.0,1,,,,,1406154,1424008,,,2020-11-18,2020-11-19
28863937,,,,,7711390972705,2369151,15753508,,,2020-09-24 20:39:04.0,2020-11-19 09:46:31.0,2020-09-24 20:39:06.0,,,,,0,,0,,13864428,,,,Contract,1104736,2020-11-19 09:46:31.0,1,Skills not a match for applied position,1,,2020-09-24 20:38:00.0,1,,,,,1395257,1095849,,,2020-11-18,2020-11-19
28839595,,,,,3631057793856,2369151,15753508,,,2020-09-22 19:27:02.0,2020-11-19 09:48:05.0,2020-09-22 19:27:04.0,,,,,0,,0,,13864428,,,,Contract,1104736,2020-11-19 09:48:07.0,1,Skills not a match for applied position,1,,2020-09-22 19:26:00.0,1,,,,,1395257,1095849,,,2020-11-18,2020-11-19
29313490,,,,,11845378141744,4296153,27282106,,,2020-11-16 16:57:35.0,2020-11-19 09:48:44.0,2020-11-16 16:57:36.0,,,,,0,,0,,14087068,,,,Contract,1095672,2020-11-19 09:48:45.0,1,Other,0,,2020-11-16 16:57:00.0,1,,,,,1403411,1403411,,,2020-11-18,2020-11-19
29277924,,,,,12091086753344,5063290,12079168,,,2020-11-11 09:37:31.0,2020-11-19 10:01:47.0,2020-11-11 09:37:33.0,,,,,0,2020-11-13 15:00:00.0,1,America/New_York,14049365,,,,Right to Hire,1095672,2020-11-19 10:01:47.0,1,Other,0,,2020-11-11 09:36:00.0,1,,,,,1403411,1403411,,,2020-11-18,2020-11-19
29232545,,,,,9868859913425,2369151,15753508,,,2020-11-09 15:17:08.0,2020-11-19 10:20:30.0,2020-11-09 15:17:10.0,,,,,0,,0,,14039248,,,,Contract,1104736,2020-11-19 10:20:32.0,1,Skills Not Strong Enough,1,,2020-11-09 15:15:00.0,1,,,,,1395257,1460745,,,2020-11-18,2020-11-19
28984453,,,,,11959160364436,2369151,33067382,,,2020-10-09 12:56:30.0,2020-11-19 10:51:45.0,2020-10-09 12:56:31.0,,,,,0,,0,,13930593,,,,Contract,1104736,2020-11-19 10:51:46.0,1,Other,1,,2020-10-09 12:55:00.0,1,,,,,1403411,1403411,,,2020-11-18,2020-11-19
29231866,,,,,5535163032962,2198273,20854498,,,2020-11-09 14:33:11.0,2020-11-19 11:33:44.0,2020-11-09 14:33:13.0,,,,,0,2020-11-18 15:00:00.0,1,America/Chicago,14011464,,,,Contract,1095841,2020-11-19 11:33:46.0,1,Skills Not Strong Enough,0,,2020-11-09 14:32:00.0,1,,,,,1470277,1470277,,,2020-11-18,2020-11-19
29306197,,,,,9845657555198,2198273,25725531,,,2020-11-13 20:00:23.0,2020-11-19 12:01:45.0,2020-11-13 20:00:24.0,,,,,0,,0,,14040785,,,,Contract,1095841,2020-11-19 12:01:46.0,1,Skills not a match for applied position,1,,2020-11-13 19:59:00.0,1,,,,,1470052,1470052,,,2020-11-18,2020-11-19
29310926,,,,,5115701717678,2198273,25725531,,,2020-11-16 14:17:17.0,2020-11-19 12:16:56.0,2020-11-16 14:17:18.0,,,,,0,,0,,14040785,,,,Contract,1095841,2020-11-19 12:16:57.0,1,Not a local candidate,1,,2020-11-16 14:16:00.0,1,,,,,1470052,1470052,,,2020-11-18,2020-11-19
29280222,,,,,11235436652790,2198273,25725531,,,2020-11-11 12:40:47.0,2020-11-19 12:18:40.0,2020-11-11 12:40:48.0,,,,,0,,0,,14040785,,,,Contract,1095841,2020-11-19 12:18:09.0,1,Not a local candidate,1,,2020-11-11 12:40:00.0,1,,,,,1470052,1470052,,,2020-11-18,2020-11-19
29225043,,,,,1720342961296,7221378,26475655,,,2020-11-06 18:21:30.0,2020-11-19 12:45:30.0,2020-11-06 18:21:32.0,,,,,0,2020-11-17 13:00:00.0,1,America/Los_Angeles,14045313,,,,Contract,1095869,2020-11-19 12:45:31.0,1,Other,0,,2020-11-06 18:20:00.0,1,,,,,1095869,1169137,,,2020-11-18,2020-11-19
29248705,,,,,3221411340140,7221378,26475655,,,2020-11-10 19:22:16.0,2020-11-19 12:58:04.0,2020-11-10 19:22:18.0,,,,,0,,0,,14045313,,,,Contract,1095869,2020-11-19 12:58:06.0,1,Other,0,,2020-11-10 19:21:00.0,1,,,,,1095869,1169137,,,2020-11-18,2020-11-19
