ACTIONDATE,ACTIONTYPE,CANDIDATEID,CONTACTID,CREATEDATE,JOBID,NOTEFIRST100CHARS,NOTEID,USERID,api_fromDate,api_toDate
,Mark Candidate as Interested,12232040656109,,2020-11-19 14:15:58.0,14011464,Screended - will submit,362218547,1409440,2020-11-18,2020-11-19
,Mark Candidate as Interested,4774366292270,,2020-11-19 13:53:36.0,14102589,willing to relo $70 ok with $68,362204015,1447792,2020-11-18,2020-11-19
,Mark Candidate as Interested,12227096576892,,2020-11-19 12:01:47.0,14094119,Interested $26,362165172,1447792,2020-11-18,2020-11-19
,Mark Candidate as Interested,2163822,,2020-11-18 13:47:14.0,14098301,waiting on an updated resume. Will be submitting him,361980601,1450333,2020-11-18,2020-11-19
,Mark Candidate as Interested,10361982441006,,2020-11-18 13:04:11.0,14080475,referred by Deekshit Reddy. H1b valid till 2023. 70/hr on c2c,361964749,1450333,2020-11-18,2020-11-19
2020-11-18 12:56:00.0,Skill Market,119760733502,,2020-11-18 12:56:44.0,,sent skill market,361962188,1403411,2020-11-18,2020-11-19
2020-11-19 18:03:00.0,Consultant Care - Call,721592856927,,2020-11-19 18:12:33.0,,"Getting OT, busy on the project. Everything is all good. ",362301322,1095849,2020-11-18,2020-11-19
2020-11-19 17:38:00.0,Consultant Care - Call,6355265067149,,2020-11-19 17:41:34.0,,"Connected with Crishanna this afternoon, she states that all is going well but wanted to know if she",362295630,1460761,2020-11-18,2020-11-19
2020-11-19 17:19:00.0,Consultant Care - Call,12232889796616,,2020-11-19 17:20:43.0,,Called to introduce myself - she is all set to start - tentative date she thinks is going to be 12/7,362291078,1403411,2020-11-18,2020-11-19
2020-11-19 15:56:00.0,Consultant Care - Call,9382274254262,,2020-11-19 15:56:51.0,,"going well, pending conversion. ",362262115,1445279,2020-11-18,2020-11-19
2020-11-19 15:28:00.0,Consultant Care - Call,9282120751727,,2020-11-19 15:28:41.0,,Everything at Spark is going great! No challenges at the moment.,362250258,1445279,2020-11-18,2020-11-19
2020-11-19 15:27:00.0,Consultant Care - Call,9464839549274,,2020-11-19 15:28:10.0,,Everything at Sysco is going great! No challenges.,362249645,1445279,2020-11-18,2020-11-19
2020-11-19 15:26:00.0,Consultant Care - Call,9208329916288,,2020-11-19 15:27:11.0,,excited for new client site and things are going well with onboarding,362249186,1445279,2020-11-18,2020-11-19
2020-11-19 15:19:00.0,Consultant Care - Call,9860528156586,,2020-11-19 15:20:03.0,,Everything at NRG is going great! No challenges at the moment. ,362246786,1445279,2020-11-18,2020-11-19
2020-11-19 15:15:00.0,Consultant Care - Call,9263333833939,,2020-11-19 15:15:47.0,,Everything at Enteria is going great! No challenges at the moment.,362245362,1445279,2020-11-18,2020-11-19
2020-11-19 15:12:00.0,Consultant Care - Call,10202059977714,,2020-11-19 15:14:52.0,,Everything at NRG is going great! No challenges at the moment. ,362244992,1445279,2020-11-18,2020-11-19
2020-11-19 15:07:00.0,Consultant Care - Call,5225779531081,,2020-11-19 15:09:16.0,,Check in - Hes doing good he still has laptop issues but he's talking to IT about it since it kicks ,362242692,1411444,2020-11-18,2020-11-19
2020-11-19 15:07:00.0,Consultant Care - Call,8229646010362,,2020-11-19 15:08:21.0,,Everything is going great! No challenges at the moment.,362242342,1445279,2020-11-18,2020-11-19
2020-11-19 15:02:00.0,Consultant Care - Call,9241907998785,,2020-11-19 15:03:26.0,,Everything is going great! No challenges at the moment. ,362241009,1445279,2020-11-18,2020-11-19
2020-11-19 14:44:00.0,Consultant Care - Call,10014016077493,,2020-11-19 14:53:37.0,,things are going well at EPROD. No additional training needed at this time. ,362237694,1445279,2020-11-18,2020-11-19
2020-11-19 14:42:00.0,Consultant Care - Call,10319211988637,,2020-11-19 14:44:18.0,,"things are going well at the client site, enjoying the team. no additional training needed. just had",362234427,1445279,2020-11-18,2020-11-19
2020-11-19 14:40:00.0,Consultant Care - Call,10498941944957,,2020-11-19 14:41:05.0,,"wants to do well since its his last month at the client due to budget, excited for potential new cli",362233396,1445279,2020-11-18,2020-11-19
2020-11-19 14:39:00.0,Consultant Care - Call,10319254271777,,2020-11-19 14:39:38.0,,"things are going well, no additional training. ",362233000,1445279,2020-11-18,2020-11-19
2020-11-19 14:32:00.0,Consultant Care - Call,7280396250056,,2020-11-19 14:33:39.0,,"things are going well, no additional training needed. ",362230603,1445279,2020-11-18,2020-11-19
2020-11-19 13:58:00.0,Consultant Care - Call,9949578928583,,2020-11-19 13:58:48.0,,the assignment is fine. liking the team. no additional training needed. ,362205875,1445279,2020-11-18,2020-11-19
2020-11-19 13:55:00.0,Consultant Care - Call,10498942021517,,2020-11-19 13:56:02.0,,"things are going good and is interested, liking the team and no additional training needed",362204811,1445279,2020-11-18,2020-11-19
2020-11-19 13:53:00.0,Consultant Care - Call,5174789161746,,2020-11-19 13:55:26.0,,"Connected with Lydia regarding her inquires on Benefits, she was experiencing a error message when t",362204604,1460761,2020-11-18,2020-11-19
2020-11-19 13:49:00.0,Consultant Care - Call,8254800648586,,2020-11-19 13:50:31.0,,"things are going well at the client, learning the work streams. ",362202851,1445279,2020-11-18,2020-11-19
2020-11-19 13:47:00.0,Consultant Care - Call,10353807794226,,2020-11-19 13:48:15.0,,"things are going pretty good, liking the team",362201904,1445279,2020-11-18,2020-11-19
2020-11-19 13:37:00.0,Consultant Care - Call,10966008736199,,2020-11-19 13:46:59.0,,"things are going good at the client site, no additional training needed.",362201559,1445279,2020-11-18,2020-11-19
2020-11-19 13:36:00.0,Consultant Care - Call,11207303117967,,2020-11-19 13:36:54.0,,Everything at NRG is going great! No challenges at the moment. I appreciate you keeping in touch so ,362198045,1445279,2020-11-18,2020-11-19
2020-11-19 13:32:00.0,Consultant Care - Call,6337772211151,,2020-11-19 13:33:03.0,,"things are going well, still training with the client, liking the team.",362196725,1445279,2020-11-18,2020-11-19
2020-11-19 13:25:00.0,Consultant Care - Call,9781712948839,,2020-11-19 13:29:08.0,,"things are going well, no additional assistance needed. ",362195570,1445279,2020-11-18,2020-11-19
2020-11-19 13:24:00.0,Consultant Care - Call,9781924718750,,2020-11-19 13:25:23.0,,"things are going well, no additional assistance needed. ",362193972,1445279,2020-11-18,2020-11-19
2020-11-19 13:23:00.0,Consultant Care - Call,8776089032749,,2020-11-19 13:23:31.0,,"things are going well, no further assistance needed. ",362193457,1445279,2020-11-18,2020-11-19
2020-11-19 13:16:00.0,Consultant Care - Call,5096770387622,,2020-11-19 13:18:20.0,,"still doing customer service, more development about 50% now. things are going good with manager and",362191617,1445279,2020-11-18,2020-11-19
2020-11-19 12:49:00.0,Consultant Care - Call,10483544333771,,2020-11-19 12:49:28.0,,Things are going well and no further assistance is needed at this moment. ,362180931,1445279,2020-11-18,2020-11-19
2020-11-19 12:46:00.0,Consultant Care - Call,3137450539166,,2020-11-19 12:48:00.0,,Things are going well and no further assistance is needed at this moment. ,362180577,1445279,2020-11-18,2020-11-19
2020-11-19 12:43:00.0,Consultant Care - Call,11327163113780,,2020-11-19 12:43:57.0,,Things are going well and no further assistance is needed at this moment. ,362179502,1445279,2020-11-18,2020-11-19
2020-11-19 12:37:00.0,Consultant Care - Call,11207305234028,,2020-11-19 12:38:11.0,,"working with ray to get assistance with his project, slow project assistance. needing further assist",362177925,1445279,2020-11-18,2020-11-19
2020-11-19 12:30:00.0,Consultant Care - Call,10875480788190,,2020-11-19 12:34:38.0,,"things are going ""pretty good."" liking the pluralsight training. ",362177040,1445279,2020-11-18,2020-11-19
2020-11-19 12:26:00.0,Consultant Care - Call,11188859464469,,2020-11-19 12:27:07.0,,"things are going good, on a new quota.",362174101,1445279,2020-11-18,2020-11-19
2020-11-19 12:23:00.0,Consultant Care - Call,11498212132397,,2020-11-19 12:24:13.0,,"Loving the new position, still in training. ",362173026,1445279,2020-11-18,2020-11-19
2020-11-19 12:11:00.0,Consultant Care - Call,633599466501,,2020-11-19 12:11:23.0,,asking for referrals ,362168268,1440874,2020-11-18,2020-11-19
2020-11-19 12:07:00.0,Consultant Care - Call,5993788912782,,2020-11-19 12:08:22.0,,Connected with Donna this morning regarding her inquires on benefits . She just wanted a better unde,362167079,1460761,2020-11-18,2020-11-19
2020-11-19 12:03:00.0,Consultant Care - Call,11268753967084,,2020-11-19 12:03:29.0,,"things are going well, helping the team with processing. ",362165576,1445279,2020-11-18,2020-11-19
