ACTIVITYID,AGREEDBILLRATE,AGREEDPAYRATE,BILLFREQUENCY,BILLRATECURRENCY,CANDIDATEID,COMPANYID,CONTACTID,CORPTOCORP,CURRENCY,DATECREATED,DATEUPDATED,DATEUSERFIELDUPDATED,ENDDATE,FEE,FEE_PERCENT,FEE_TYPE,HIREFLAG,INTERVIEWDATE,INTERVIEWFLAG,INTERVIEW_TIMEZONEID,JOBID,LineofBusiness,Location,PAYFREQUENCY,POSITIONTYPE,PRIMARYSALESID,REJECTDATE,REJECTFLAG,REJECTREASON,ROLEID,STARTDATE,SUBMITTALDATE,SUBMITTALFLAG,StartExclude,TERMINATIONDATE,TERMINATIONREASON,TermExcludeDate,UPDATEDBY_USERID,USERID,VMSStatus,VendorClassification,api_fromDate,api_toDate
20326300,,,,,12232889796616,2474651,20905395,,,2018-02-13 15:17:11.0,2020-11-19 17:16:17.0,2019-01-24 00:05:56.0,,,,,0,2018-02-19 17:00:00.0,1,America/Los_Angeles,10524204,,,,Right to Hire,1104736,2018-02-21 16:30:02.0,1,Other,0,,2018-02-13 18:14:00.0,1,,,,,1108886,1108886,,,2020-11-18,2020-11-23
25051199,,,,,12221876264543,7782163,26853028,,,2019-07-11 14:30:15.0,2020-11-18 11:56:32.0,2019-07-11 14:30:17.0,,,,,0,,0,,12403107,,,,Contract,1096061,2019-07-15 09:25:25.0,1,Candidate off the market,1,,2019-07-11 14:29:00.0,1,,,,,1445402,1445402,,,2020-11-18,2020-11-23
29311417,,,,,11717748022410,4296153,27282106,,,2020-11-16 14:48:35.0,2020-11-18 09:09:58.0,2020-11-16 14:48:38.0,,,,,0,,0,,14087050,,,,Contract,1095672,2020-11-18 09:09:59.0,1,Other,0,,2020-11-16 14:48:00.0,1,,,,,1403411,1403411,,,2020-11-18,2020-11-23
29308982,,,,,12217814113992,4296153,27282106,,,2020-11-16 11:47:52.0,2020-11-18 09:10:48.0,2020-11-16 11:47:55.0,,,,,0,,0,,14087050,,,,Contract,1095672,2020-11-18 09:10:49.0,1,Other,0,,2020-11-16 11:47:00.0,1,,,,,1403411,1403411,,,2020-11-18,2020-11-23
29304234,,,,,7032852715506,4754855,32729670,,,2020-11-13 16:41:28.0,2020-11-18 10:53:25.0,2020-11-13 16:41:29.0,,,,,0,2020-11-16 14:00:00.0,1,America/New_York,14012455,,,,Contract,1452961,2020-11-18 10:53:26.0,1,Other,0,,,0,,,,,1403411,1403411,,,2020-11-18,2020-11-23
29307428,,,,,119760733502,4754855,32729670,,,2020-11-16 08:53:59.0,2020-11-18 10:55:06.0,2020-11-16 08:54:00.0,,,,,0,2020-11-17 13:00:00.0,1,America/New_York,14012455,,,,Contract,1452961,2020-11-18 10:55:06.0,1,Other,0,,,0,,,,,1403411,1403411,,,2020-11-18,2020-11-23
29087042,,,,,8738045855142,2198273,15552970,,,2020-10-21 19:19:45.0,2020-11-18 11:13:18.0,2020-10-21 19:19:46.0,,,,,0,,0,,13929257,,,,Contract,1095841,2020-11-18 11:13:19.0,1,Position closed - No feedback on Candidate from Client,1,,2020-10-21 19:19:00.0,1,,,,,1470052,1470052,,,2020-11-18,2020-11-23
29326267,,,,,12197219954070,0,32758416,,,2020-11-17 18:06:45.0,2020-11-18 13:26:49.0,2020-11-17 18:06:47.0,,,,,0,,0,,14097455,,,,Contract,1416848,2020-11-18 13:26:51.0,1,Candidate withdraw,0,,2020-11-17 18:06:00.0,1,,,,,1169137,1169137,,,2020-11-18,2020-11-23
29089671,,,,,8541310964616,2369151,15753508,,,2020-10-22 09:42:34.0,2020-11-18 13:44:07.0,2020-10-22 09:42:35.0,,,,,0,,0,,13979603,,,,Contract,1104736,2020-11-18 13:44:09.0,1,Skills not a match for applied position,1,,2020-10-22 09:42:00.0,1,,,,,1395257,1440064,,,2020-11-18,2020-11-23
29293833,,,,,4614362635034,2190650,33108917,,,2020-11-12 15:44:28.0,2020-11-18 13:49:51.0,2020-11-12 15:44:30.0,,,,,0,2020-11-18 12:00:00.0,1,America/Los_Angeles,14079863,,,,Contract,1394820,2020-11-18 13:49:53.0,1,Poor Communications,0,,2020-11-12 15:43:00.0,1,,,,,1460631,1460631,,,2020-11-18,2020-11-23
