ACTIVITYID,AGREEDBILLRATE,AGREEDPAYRATE,BILLFREQUENCY,BILLRATECURRENCY,CANDIDATEID,COMPANYID,CONTACTID,CORPTOCORP,CURRENCY,DATECREATED,DATEUPDATED,DATEUSERFIELDUPDATED,ENDDATE,FEE,FEE_PERCENT,FEE_TYPE,HIREFLAG,INTERVIEWDATE,INTERVIEWFLAG,INTERVIEW_TIMEZONEID,JOBID,LineofBusiness,Location,PAYFREQUENCY,POSITIONTYPE,PRIMARYSALESID,REJECTDATE,REJECTFLAG,REJECTREASON,ROLEID,STARTDATE,SUBMITTALDATE,SUBMITTALFLAG,StartExclude,TERMINATIONDATE,TERMINATIONREASON,TermExcludeDate,UPDATEDBY_USERID,USERID,VMSStatus,VendorClassification,api_fromDate,api_toDate
20326300,,,,,12232889796616,2474651,20905395,,,2018-02-13 15:17:11.0,2020-11-19 17:16:17.0,2019-01-24 00:05:56.0,,,,,0,2018-02-19 17:00:00.0,1,America/Los_Angeles,10524204,,,,Right to Hire,1104736,2018-02-21 16:30:02.0,1,Other,0,,2018-02-13 18:14:00.0,1,,,,,1108886,1108886,,,2020-11-09,2020-11-23
25051199,,,,,12221876264543,7782163,26853028,,,2019-07-11 14:30:15.0,2020-11-18 11:56:32.0,2019-07-11 14:30:17.0,,,,,0,,0,,12403107,,,,Contract,1096061,2019-07-15 09:25:25.0,1,Candidate off the market,1,,2019-07-11 14:29:00.0,1,,,,,1445402,1445402,,,2020-11-09,2020-11-23
29111321,,,,,12209741610544,2196789,31424077,,,2020-10-24 23:00:09.0,2020-11-13 13:46:36.0,2020-10-24 23:00:10.0,,,,,0,,0,,13988240,,,,Contract,1464505,2020-10-24 23:02:04.0,1,Candidate requires sponsorship,0,,2020-10-24 22:59:00.0,1,,,,,1459591,1459591,,,2020-11-09,2020-11-23
29175847,,,,,3563593377888,4842600,33023987,,,2020-11-02 14:59:03.0,2020-11-09 09:07:48.0,2020-11-02 14:59:05.0,,,,,0,,0,,14016039,,,,Direct Placement,1446533,2020-11-09 09:07:49.0,1,Other,1,,2020-11-02 14:58:00.0,1,,,,,1440874,1440874,,,2020-11-09,2020-11-23
29101968,,,,,2380232745262,2369151,15753508,,,2020-10-23 10:12:25.0,2020-11-09 09:08:12.0,2020-10-23 10:12:26.0,,,,,0,,0,,13988502,,,,Contract,1104736,2020-11-09 09:08:12.0,1,Other,1,,2020-10-23 10:12:00.0,1,,,,,1395257,1108886,,,2020-11-09,2020-11-23
29195763,,,,,9535772177367,2369151,15753508,,,2020-11-04 12:01:58.0,2020-11-09 09:26:44.0,2020-11-04 12:02:01.0,,,,,0,2020-11-06 13:00:00.0,1,America/New_York,13968947,,,,Contract,1104736,2020-11-09 09:26:44.0,1,Skills Not Strong Enough,1,,,0,,,,,1395257,1108886,,,2020-11-09,2020-11-23
29064639,,,,,9535772177367,2369151,15753508,,,2020-10-20 09:57:22.0,2020-11-09 09:26:57.0,2020-10-28 12:47:21.0,,,,,0,2020-10-29 13:00:00.0,1,America/New_York,13968947,,,,Contract,1104736,2020-11-09 09:26:58.0,1,Skills Not Strong Enough,1,,2020-10-20 09:56:00.0,1,,,,,1395257,1108886,,,2020-11-09,2020-11-23
28950773,,,,,7836777195776,5479554,26792215,,,2020-10-06 16:15:43.0,2020-11-09 09:28:20.0,2020-10-06 16:15:45.0,,,,,0,2020-10-15 15:00:00.0,1,America/Chicago,13895742,,,,Direct Placement,1394817,2020-11-09 09:28:21.0,1,Skills Not Strong Enough,0,,2020-10-06 16:14:00.0,1,,,,,1394817,1440691,,,2020-11-09,2020-11-23
28996752,,,,,3588028566465,5479554,26792215,,,2020-10-12 14:16:54.0,2020-11-09 09:28:38.0,2020-10-12 14:16:56.0,,,,,0,2020-10-16 11:00:00.0,1,America/Chicago,13895766,,,,Direct Placement,1394817,2020-11-09 09:28:38.0,1,Skills Not Strong Enough,0,,2020-10-12 14:16:00.0,1,,,,,1394817,1457446,,,2020-11-09,2020-11-23
29093014,,,,,11199677190993,7782708,18413222,,,2020-10-22 14:00:29.0,2020-11-09 09:34:17.0,2020-10-22 14:00:31.0,,,,,0,,0,,13974988,,,,Contract,1104736,2020-11-09 09:34:19.0,1,Candidate off the market,0,,2020-10-22 13:59:00.0,1,,,,,1395257,1403411,,,2020-11-09,2020-11-23
28879587,,,,,11966954131359,6215423,27821175,,,2020-09-28 13:21:33.0,2020-11-09 10:46:00.0,2020-09-28 13:21:34.0,,,,,0,2020-09-29 13:00:00.0,1,America/Chicago,13791866,,,,Direct Placement,1361364,2020-11-09 10:46:01.0,1,Resume rejected with no feedback,0,,,0,,,,,1251538,1251538,,,2020-11-09,2020-11-23
28777400,,,,,11966954131359,6215423,27821175,,,2020-09-15 17:25:49.0,2020-11-09 10:46:10.0,2020-09-15 17:25:52.0,,,,,0,2020-09-17 16:00:00.0,1,America/Chicago,13791866,,,,Direct Placement,1361364,2020-11-09 10:46:12.0,1,Resume rejected with no feedback,0,,,0,,,,,1251538,1251538,,,2020-11-09,2020-11-23
28707096,,,,,11966954131359,6215423,27821175,,,2020-09-04 17:01:42.0,2020-11-09 10:46:21.0,2020-09-04 17:01:44.0,,,,,0,2020-09-08 17:00:00.0,1,America/Chicago,13791866,,,,Direct Placement,1361364,2020-11-09 10:46:22.0,1,Resume rejected with no feedback,0,,,0,,,,,1251538,1251538,,,2020-11-09,2020-11-23
