ADDRESS1,ADDRESS2,CITY,COMPANYID,COMPANYNAME,COMPANYTYPE,COUNTRYID,DATECREATED,DATEUPDATED,DATEUSERFIELDUPDATED,DIVISIONID,EMAIL,FAX,INDUSTRY,PHONE,PRIMARYOWNER,SALES_PIPELINE,STATE,URL,USERID,ZIPCODE,api_fromDate,api_toDate
555 South Flower,9th Floor,Los Angeles,2718906,City National Bank,CLIENT,US,2013-04-15 11:05:42.0,2020-11-20 17:50:25.0,2020-11-20 17:50:25.0,0,,,,2136738761,Candice A Lawson,,CA,,,90071,2020-11-19,2020-11-20
4181 Pleasant Hill rd,ste 200,Duluth,6678795,Tekgroup LLC,Supplier,US,2017-03-14 12:44:02.0,2020-11-19 11:02:36.0,2020-11-19 11:02:36.0,,vasu@tekgroupusa.com,,,7706280536,,,GA,www.tekgroupusa.com,1405578,30096,2020-11-19,2020-11-20
2445 Meadowbrook Pkwy,,Duluth,7964161,Mitec,Propsect,US,2020-11-09 15:29:42.0,2020-11-19 10:02:11.0,2020-11-19 10:02:11.0,0,jskinner@mitecnet.com,, I n s u r a n c e,4703619693,,,GA,,1472018,30096,2020-11-19,2020-11-20
823 Rosenberg Street,,Galveston,7971425,Galveston Water Department,,US,2020-11-19 11:19:41.0,2020-11-19 11:19:41.0,,0,,,,4097973550,,,TX,galvestontx.gov,1418854,77553,2020-11-19,2020-11-20
98 San Jacinto Blvd,,Austin,7971429,Atmosphere,,US,2020-11-19 11:22:08.0,2020-11-19 11:22:08.0,,0,,,,15126751080,,,TX,atmosphere.tv,0,78701,2020-11-19,2020-11-20
21003 Interstate 35,,Kyle,7971430,Hays CISD,,US,2020-11-19 11:23:18.0,2020-11-19 11:23:18.0,,0,,,,12024634860,,,TX,hayscisd.net,0,78640,2020-11-19,2020-11-20
233 N PECOS,STE 520,San Antonio,7971432,BEXAR COUNTY COURTHOUSE,,US,2020-11-19 11:24:33.0,2020-11-19 11:24:33.0,,0,,,,2103356602,,,TX,bexar.org,1454372,78205,2020-11-19,2020-11-20
1464 East Whitestone Boulevard,STE 1001,Cedar Park,7971433,"MAGRABBIT, INC",,US,2020-11-19 11:24:56.0,2020-11-19 11:24:56.0,,0,,,,15124851082,,,TX,magrabbit.com,1406154,78613,2020-11-19,2020-11-20
20 Church Street,,Hartford,7971435,NEOS,,US,2020-11-19 11:25:05.0,2020-11-19 11:25:05.0,,0,,,,18605195601,,,CT,neosllc.com,1450080,06103,2020-11-19,2020-11-20
6136 Frisco Square Boulevard,,Frisco,7971436,Meritize,,US,2020-11-19 11:25:14.0,2020-11-19 11:25:14.0,,0,,,,18446374849,,,TX,meritize.com,1455993,75034,2020-11-19,2020-11-20
